Size, Seed, Methods, ArrayListTotalTime, LinkedListTotalTime 
15000,88087987,sortOfUnsortedList,329654116,404631036
15000,88087987,sortOfSortedList,349049381,330786154
15000,88087987,linearSearchFindable,57235,44823
15000,88087987,binarySearchFindable,18861,13425
15000,88087987,linearSearchNotFindable,50315,79162
15000,88087987,binarySearchNotFindable,13667,12566
15000,4340590,AddToFront,19517319,22099366
15000,4340590,AddToBack,1193976,909155
15000,4340590,sortOfUnsortedList,324532662,324540073
15000,4340590,sortOfSortedList,346545366,375265570
15000,4340590,linearSearchFindable,29222,141620
15000,4340590,binarySearchFindable,14186,12571
15000,4340590,linearSearchNotFindable,66862,53564
15000,4340590,binarySearchNotFindable,22401,12493
15000,23451996,AddToFront,16775364,17415769
15000,23451996,AddToBack,902387,695802
15000,23451996,sortOfUnsortedList,343768352,291587637
15000,23451996,sortOfSortedList,327020538,254735961
15000,23451996,linearSearchFindable,20093,19529
15000,23451996,binarySearchFindable,11971,13643
15000,23451996,linearSearchNotFindable,34080,30107
15000,23451996,binarySearchNotFindable,12555,15676
20000,88087987,AddToFront,30782865,32522679
20000,88087987,AddToBack,625169,658706
20000,88087987,sortOfUnsortedList,500537493,538799995
20000,88087987,sortOfSortedList,415043420,413756655
20000,88087987,linearSearchFindable,31994,32677
20000,88087987,binarySearchFindable,16613,12139
20000,88087987,linearSearchNotFindable,42255,98365
20000,88087987,binarySearchNotFindable,16971,12890
20000,4340590,AddToFront,31020407,32900603
20000,4340590,AddToBack,605553,791884
20000,4340590,sortOfUnsortedList,498458478,537915721
20000,4340590,sortOfSortedList,418550791,464978360
20000,4340590,linearSearchFindable,165806,78860
20000,4340590,binarySearchFindable,12035,12982
20000,4340590,linearSearchNotFindable,54942,39317
20000,4340590,binarySearchNotFindable,13397,13480
20000,23451996,AddToFront,35042848,30967013
20000,23451996,AddToBack,701575,630145
20000,23451996,sortOfUnsortedList,516955998,519671118
20000,23451996,sortOfSortedList,435361787,432565689
20000,23451996,linearSearchFindable,40940,31745
20000,23451996,binarySearchFindable,11440,15291
20000,23451996,linearSearchNotFindable,52651,42001
20000,23451996,binarySearchNotFindable,13355,13458
25000,88087987,AddToFront,49278702,49794011
25000,88087987,AddToBack,767542,789026
25000,88087987,sortOfUnsortedList,883707405,1013875185
25000,88087987,sortOfSortedList,994752141,780418949
25000,88087987,linearSearchFindable,44893,61652
25000,88087987,binarySearchFindable,17410,13333
25000,88087987,linearSearchNotFindable,49868,50925
25000,88087987,binarySearchNotFindable,16099,15961
25000,4340590,AddToFront,50040962,49574421
25000,4340590,AddToBack,770163,797965
25000,4340590,sortOfUnsortedList,780904761,803957689
25000,4340590,sortOfSortedList,705869950,744017626
25000,4340590,linearSearchFindable,42366,89799
25000,4340590,binarySearchFindable,12140,16687
25000,4340590,linearSearchNotFindable,50473,50686
25000,4340590,binarySearchNotFindable,14199,13646
25000,23451996,AddToFront,52123279,55154180
25000,23451996,AddToBack,917960,789396
25000,23451996,sortOfUnsortedList,870885371,853254734
25000,23451996,sortOfSortedList,741649302,724444311
25000,23451996,linearSearchFindable,37489,37085
25000,23451996,binarySearchFindable,13520,23568
25000,23451996,linearSearchNotFindable,376410,77049
25000,23451996,binarySearchNotFindable,12650,12857
30000,88087987,AddToFront,79416443,77140033
30000,88087987,AddToBack,1156607,1245693
30000,88087987,sortOfUnsortedList,1274530398,1254347567
30000,88087987,sortOfSortedList,1140352629,984537449
30000,88087987,linearSearchFindable,48939,48213
30000,88087987,binarySearchFindable,12813,18508
30000,88087987,linearSearchNotFindable,70819,61824
30000,88087987,binarySearchNotFindable,20497,17166
30000,4340590,AddToFront,144634740,112940381
30000,4340590,AddToBack,1470084,1030048
30000,4340590,sortOfUnsortedList,2520228198,2140806147
30000,4340590,sortOfSortedList,1043227917,1102474808
30000,4340590,linearSearchFindable,103393,55222
30000,4340590,binarySearchFindable,13096,19360
30000,4340590,linearSearchNotFindable,61757,61921
30000,4340590,binarySearchNotFindable,13465,13926
30000,23451996,AddToFront,79849406,82309830
30000,23451996,AddToBack,1520650,953435
30000,23451996,sortOfUnsortedList,1323591403,1182315580
30000,23451996,sortOfSortedList,979791300,951290145
30000,23451996,linearSearchFindable,41849,43430
30000,23451996,binarySearchFindable,13202,12345
30000,23451996,linearSearchNotFindable,61608,61569
30000,23451996,binarySearchNotFindable,15166,22474
35000,88087987,AddToFront,110337124,104439089
35000,88087987,AddToBack,1164154,1827561
35000,88087987,sortOfUnsortedList,1721210801,1745304495
35000,88087987,sortOfSortedList,1285811453,1301488892
35000,88087987,linearSearchFindable,85489,57408
35000,88087987,binarySearchFindable,13362,13779
35000,88087987,linearSearchNotFindable,119835,94467
35000,88087987,binarySearchNotFindable,41961,15421
35000,4340590,AddToFront,112872212,107364463
35000,4340590,AddToBack,1348450,1582751
35000,4340590,sortOfUnsortedList,2429553001,3348716157
35000,4340590,sortOfSortedList,1798390450,1319062042
35000,4340590,linearSearchFindable,57381,55950
35000,4340590,binarySearchFindable,14756,16176
35000,4340590,linearSearchNotFindable,87095,82510
35000,4340590,binarySearchNotFindable,12698,14125
35000,23451996,AddToFront,114395580,113871122
35000,23451996,AddToBack,1615024,1425886
35000,23451996,sortOfUnsortedList,1798723294,1859563103
35000,23451996,sortOfSortedList,1409396906,1368100770
35000,23451996,linearSearchFindable,74003,65347
35000,23451996,binarySearchFindable,12436,13655
35000,23451996,linearSearchNotFindable,72880,73109
35000,23451996,binarySearchNotFindable,14118,14209
40000,88087987,AddToFront,131252091,135235189
40000,88087987,AddToBack,1371561,1250910
40000,88087987,sortOfUnsortedList,2292199392,2376988837
40000,88087987,sortOfSortedList,2008069237,1819782154
40000,88087987,linearSearchFindable,65546,65973
40000,88087987,binarySearchFindable,13672,15232
40000,88087987,linearSearchNotFindable,169717,104711
40000,88087987,binarySearchNotFindable,13944,16066
40000,4340590,AddToFront,150065521,140675387
40000,4340590,AddToBack,1540643,1697275
40000,4340590,sortOfUnsortedList,2197728649,2719348359
40000,4340590,sortOfSortedList,1915410062,1809801775
40000,4340590,linearSearchFindable,98042,65750
40000,4340590,binarySearchFindable,13511,13423
40000,4340590,linearSearchNotFindable,82035,83338
40000,4340590,binarySearchNotFindable,22117,15077
40000,23451996,AddToFront,188771774,230938036
40000,23451996,AddToBack,2956759,1619160
40000,23451996,sortOfUnsortedList,2756622207,2764156922
40000,23451996,sortOfSortedList,1977457798,1993113358
40000,23451996,linearSearchFindable,57666,82667
40000,23451996,binarySearchFindable,12911,17404
40000,23451996,linearSearchNotFindable,115893,82748
40000,23451996,binarySearchNotFindable,13725,18892
45000,88087987,AddToFront,207881750,262587333
45000,88087987,AddToBack,1991771,3555618
45000,88087987,sortOfUnsortedList,3597188253,3117757766
45000,88087987,sortOfSortedList,2379569666,2297856688
45000,88087987,linearSearchFindable,104692,161901
45000,88087987,binarySearchFindable,14137,14841
45000,88087987,linearSearchNotFindable,90144,93300
45000,88087987,binarySearchNotFindable,13177,17552
45000,4340590,AddToFront,169947683,187386355
45000,4340590,AddToBack,1472813,1978269
45000,4340590,sortOfUnsortedList,3266455682,3503943878
45000,4340590,sortOfSortedList,2393713835,2545233179
45000,4340590,linearSearchFindable,73693,73985
45000,4340590,binarySearchFindable,13762,21541
45000,4340590,linearSearchNotFindable,91022,129107
45000,4340590,binarySearchNotFindable,20437,13652
45000,23451996,AddToFront,169196283,173653808
45000,23451996,AddToBack,1633318,1407750
45000,23451996,sortOfUnsortedList,4284012585,3378374245
45000,23451996,sortOfSortedList,2526909284,2281912604
45000,23451996,linearSearchFindable,64528,66003
45000,23451996,binarySearchFindable,13411,14325
45000,23451996,linearSearchNotFindable,94318,93589
45000,23451996,binarySearchNotFindable,14453,14270
50000,88087987,AddToFront,209282349,215741929
50000,88087987,AddToBack,1644530,1574120
50000,88087987,sortOfUnsortedList,3966493878,3944574219
50000,88087987,sortOfSortedList,2893216241,3028410072
50000,88087987,linearSearchFindable,82182,229640
50000,88087987,binarySearchFindable,18468,16035
50000,88087987,linearSearchNotFindable,147426,125721
50000,88087987,binarySearchNotFindable,15160,13931
50000,4340590,AddToFront,219027901,228105755
50000,4340590,AddToBack,2225129,2011210
50000,4340590,sortOfUnsortedList,4711016690,3997487154
50000,4340590,sortOfSortedList,2872726124,2846692242
50000,4340590,linearSearchFindable,82297,80490
50000,4340590,binarySearchFindable,19835,13853
50000,4340590,linearSearchNotFindable,195600,102122
50000,4340590,binarySearchNotFindable,13249,16652
50000,23451996,AddToFront,244286294,263234242
50000,23451996,AddToBack,2574886,2734908
50000,23451996,sortOfUnsortedList,4849980774,5761864817
50000,23451996,sortOfSortedList,3649605422,3242900565
50000,23451996,linearSearchFindable,102211,100066
50000,23451996,binarySearchFindable,13053,14001
50000,23451996,linearSearchNotFindable,114010,103582
50000,23451996,binarySearchNotFindable,23714,13895
