,Seed 1,,,Seed 2,,,Seed 3,,,Seed 4,,,Seed 5,,,Average,,,
60,55,50,14,64,47,0,63,54,12.66666667,46,40,16,60,50,0,57.6,48.2,8.533333333,
61,55,51,0,61,47,10,62,53,15,46,39,0,58,50,0,56.4,48,5,
62,56,52,23,53,45,3,62,52,0,50,42,14,60,51,14.5,56.2,48.4,10.9,
63,57,51,18,54,45,23,58,52,34,51,42,0,61,49,0,56.2,47.8,15,
64,60,53,14.5,56,48,17,57,52,27,52,41,14,59,49,18.5,56.8,48.6,18.2,
65,62,52,0,57,48,0,60,52,0,52,40,0,58,50,23,57.8,48.4,4.6,
66,61,53,26,58,49,5,58,52,28,52,41,7,58,49,0,57.4,48.8,13.2,
67,58,52,30,58,50,23,54,51,12,51,40,11.25,57,48,13,55.6,48.2,17.85,
68,60,50,20,59,50,0,61,52,13,48,38,24,54,47,15,56.4,47.4,14.4,
69,64,52,0,60,51,15.5,60,52,29,48,37,0,56,44,26,57.6,47.2,14.1,
70,63,52,0,56,49,7,58,53,14.5,45,40,0,55,45,14,55.4,47.8,7.1,
71,67,55,0,56,48,32,58,50,27,45,42,0,54,46,24,56,48.2,16.6,
72,60,55,0,51,47,18,60,49,24,43,42,20,53,46,16,53.4,47.8,15.6,
73,56,56,21,55,47,25,63,49,0,43,41,23,55,47,33.5,54.4,48,20.5,
74,56,52,22.25,55,50,22.5,61,51,0,47,42,27,54,45,34,54.6,48,21.15,
75,55,48,0,56,48,2,60,50,0,47,41,35,54,44,0,54.4,46.2,7.4,
76,56,49,23.33333333,57,50,11,58,51,0,48,40,17,51,44,20.66666667,54,46.8,14.4,
77,55,47,0,54,49,25.33333333,60,52,42,48,38,0,51,41,25,53.6,45.4,18.46666667,
78,55,48,0,56,46,0,59,54,35.5,45,38,15,50,41,26,53,45.4,15.3,
79,51,48,24,56,47,9,59,52,0,42,35,0,48,40,0,51.2,44.4,6.6,
80,51,47,16,55,47,0,63,52,33,47,35,19,50,41,36,53.2,44.4,20.8,
81,54,46,46,55,47,37,61,51,26,45,34,13,51,43,32,53.2,44.2,30.8,
82,59,51,45,56,47,0,62,51,19,44,31,17.5,52,45,15,54.6,45,19.3,
83,61,52,0,57,48,30,56,48,0,47,32,0,51,46,23,54.4,45.2,10.6,
84,60,52,38,57,45,8.5,59,48,0,47,33,37,54,47,0,55.4,45,16.7,
85,59,49,0,56,45,44,61,49,0,46,31,0,54,47,14,55.2,44.2,11.6,
86,57,49,0,57,44,0,55,49,31.5,43,33,0,53,47,0,53,44.4,6.3,
87,60,52,32,55,45,0,53,49,0,44,36,0,53,44,0,53,45.2,6.4,
88,57,49,11,51,45,32,55,49,0,40,36,7,52,45,34,51,44.8,16.8,
89,56,48,0,53,44,28,54,51,43.5,40,35,0,47,43,32.5,50,44.2,20.8,
90,57,48,0,54,44,0,58,51,11,38,35,19,48,42,47,51,44,15.4,
91,56,47,0,52,46,30,61,52,0,39,35,21,48,42,0,51.2,44.4,10.2,
92,59,47,35,52,45,36,61,52,0,40,35,24,48,42,9,52,44.2,20.8,
93,58,46,38,51,45,33.5,63,53,0,43,36,40,48,42,29,52.6,44.4,28.1,
94,55,48,30.8,54,43,0,59,52,50,45,37,3,49,41,39,52.4,44.2,24.56,
95,53,44,0,55,45,44,60,53,51,44,37,0,48,41,0,52,44,19,
96,53,42,0,51,45,14,58,53,48,43,37,27,50,42,0,51,43.8,17.8,
97,51,42,60,52,44,0,57,52,0,42,37,17,48,42,39,50,43.4,23.2,
98,48,40,28.66666667,50,44,9,56,53,1,41,34,28.5,48,42,5.5,48.6,42.6,14.53333333,
99,47,37,0,49,44,21,56,52,44,39,31,15,44,40,0,47,40.8,16,
100,45,38,0,51,40,0,56,52,30,43,29,24,45,40,23,48,39.8,15.4,
101,45,37,25,50,41,0,58,48,0,40,29,0,47,41,27,48,39.2,10.4,
102,44,37,0,46,41,21.5,60,49,0,39,29,6,49,41,0,47.6,39.4,5.5,
103,47,37,0,47,40,35,59,51,18,36,27,0,50,43,21.5,47.8,39.6,14.9,
104,48,38,0,45,37,0,58,50,0,36,29,0,51,41,8,47.6,39,1.6,
105,51,40,0,45,39,0,58,50,37,35,30,31,50,41,28,47.8,40,19.2,
106,49,41,23,45,39,0,59,49,13.5,34,29,38,51,41,0,47.6,39.8,14.9,
107,45,40,25,45,40,0,57,46,62,35,28,0,51,42,11,46.6,39.2,19.6,
108,45,38,13,44,40,55,55,46,65,36,30,0,50,43,21,46,39.4,30.8,
109,45,37,0,46,39,9,52,46,40.5,35,29,9,53,42,0,46.2,38.6,11.7,
110,43,37,0,47,39,0,50,44,0,36,28,0,53,43,43.5,45.8,38.2,8.7,
111,46,39,0,50,40,8,48,45,0,36,32,31.66666667,52,41,48,46.4,39.4,17.53333333,
112,48,41,39,47,42,0,49,44,34,41,32,37,50,41,3,47,40,22.6,
113,45,37,0,50,44,42.5,51,42,40.5,41,33,0,49,40,65,47.2,39.2,29.6,
114,46,36,29,51,44,0,50,41,0,40,32,40,47,40,53,46.8,38.6,24.4,
115,48,38,40.33333333,51,44,56,53,42,0,37,31,0,47,39,0,47.2,38.8,19.26666667,
116,49,38,0,53,45,12,49,44,0,37,32,18.5,46,37,0,46.8,39.2,6.1,
117,47,38,0,52,44,27,48,45,9,37,31,0,45,36,11,45.8,38.8,9.4,
118,49,39,16,50,42,0,54,48,47,38,32,8,44,33,0,47,38.8,14.2,
119,49,39,34,49,41,39,55,47,16.5,41,31,0,40,34,0,46.8,38.4,17.9,
120,48,39,31.5,49,40,0,53,46,16,42,33,0,41,33,0,46.6,38.2,9.5,
121,47,39,4,47,40,0,50,42,0,38,33,0,41,34,21.66666667,44.6,37.6,5.133333333,
122,46,38,0,45,40,53,52,44,0,36,33,0,39,31,6,43.6,37.2,11.8,
123,46,40,0,43,39,0,53,44,11,37,34,35,41,30,0,44,37.4,9.2,
124,47,41,14,42,39,0,48,42,73,37,35,0,42,31,28,43.2,37.6,23,
125,48,42,0,42,39,17,48,42,30.5,39,36,44.5,40,32,57,43.4,38.2,29.8,
126,47,42,46,40,38,0,52,41,0,40,33,0,40,34,0,43.8,37.6,9.2,
127,46,38,0,42,40,3,54,45,75,40,31,13.66666667,41,34,0,44.6,37.6,18.33333333,
128,46,38,0,43,41,0,54,45,79,39,30,0,41,37,35.5,44.6,38.2,22.9,
129,45,38,2,45,40,51,52,45,21,40,31,0,43,35,6,45,37.8,16,
130,47,37,0,44,39,0,48,44,0,40,31,26.5,46,37,0,45,37.6,5.3,
131,45,37,0,45,40,5,48,45,0,38,27,0,44,38,24,44,37.4,5.8,
132,44,38,0,45,40,0,47,44,0,36,28,0,46,37,0,43.6,37.4,0,
133,46,37,5,46,41,75,52,45,28.5,37,29,0,46,37,82,45.4,37.8,38.1,
134,43,36,23,46,39,0,54,43,18,35,27,11.5,45,37,31,44.6,36.4,16.7,
135,42,35,48.33333333,48,39,40,53,42,31,36,27,0,47,37,0,45.2,36,23.86666667,
136,44,34,19,49,39,24,52,39,0,37,27,0,44,37,11,45.2,35.2,10.8,
137,43,33,0,48,39,30,50,41,0,36,29,38,42,37,17,43.8,35.8,17,
138,41,33,30,45,39,8,49,41,45,34,29,0,40,36,32,41.8,35.6,23,
139,41,32,0,45,40,16,49,42,65,32,29,25.5,40,34,16,41.4,35.4,24.5,
140,39,33,31.25,47,39,45,50,42,19,31,27,0,40,31,0,41.4,34.4,19.05,
141,40,31,0,46,39,0,51,44,24,30,27,17,40,32,0,41.4,34.6,8.2,
142,42,33,0,45,39,0,50,44,76,31,27,0,43,33,28,42.2,35.2,20.8,
143,42,33,0,46,40,62,48,41,0,31,27,0,44,38,40.5,42.2,35.8,20.5,
144,41,34,0,46,39,0,47,42,0,35,29,31.5,45,33,55,42.8,35.4,17.3,
145,39,34,1,44,40,18.5,46,43,0,36,28,0,45,33,2,42,35.6,4.3,
146,40,34,0,43,38,0,47,43,0,36,28,0,41,33,0,41.4,35.2,0,
147,38,33,0,44,38,0,47,43,69.33333333,36,30,10,42,35,75,41.4,35.8,30.86666667,
148,39,34,19,43,37,0,51,43,31,33,29,0,41,35,0,41.4,35.6,10,
149,39,34,102,44,36,71.5,53,42,0,35,31,0,40,36,0,42.2,35.8,34.7,
150,42,35,14.5,41,33,25,54,43,0,37,32,7.5,39,35,44,42.6,35.6,18.2,
151,44,33,0,44,32,47,55,44,12,38,31,0,38,34,0,43.8,34.8,11.8,
152,45,33,27.5,41,31,0,52,41,0,37,30,0,40,35,15.5,43,34,8.6,
153,42,32,0,41,31,0,51,42,62,36,31,9,40,33,30,42,33.8,20.2,
154,40,32,33,41,33,62,50,41,8,33,30,15,39,31,0,40.6,33.4,23.6,
155,40,32,63,35,32,0,49,39,3,32,30,25,41,33,0,39.4,33.2,18.2,
156,42,33,0,36,32,0,49,40,0,31,28,0,40,34,0,39.6,33.4,0,
157,39,34,0,37,33,45,48,40,1,34,29,0,39,35,14,39.4,34.2,12,
158,39,34,0,36,33,13,45,40,0,33,29,21,39,35,2,38.4,34.2,7.2,
159,39,34,15,39,33,18,45,40,0,33,30,0,41,34,79,39.4,34.2,22.4,
160,40,35,19.5,42,33,0,46,41,19,36,30,50,43,36,0,41.4,35,17.7,
161,43,34,0,39,33,12,47,41,96,38,32,0,43,36,16,42,35.2,24.8,
162,42,35,33,39,34,0,48,40,0,42,33,0,41,33,0,42.4,35,6.6,
163,41,35,0,40,34,41,48,40,22,42,29,0,42,34,33,42.6,34.4,19.2,
164,40,35,2,41,31,12,49,40,0,43,30,0,42,34,8,43,34,4.4,
165,44,36,11,40,30,0,50,40,11,41,30,0,44,34,0,43.8,34,4.4,
166,43,34,16,41,33,0,47,41,0,39,30,0,42,38,42,42.4,35.2,11.6,
167,44,33,89,39,34,0,46,40,61,38,30,0,42,37,30,41.8,34.8,36,
168,44,32,25,38,34,40,44,38,17,34,31,16,42,36,0,40.4,34.2,19.6,
169,40,31,0,35,32,55,44,37,76,34,31,24,42,34,0,39,33,31,
170,40,31,0,35,31,32,49,38,0,33,30,19,42,34,22,39.8,32.8,14.6,
171,38,33,0,36,30,47,48,40,14,35,29,44,41,33,12,39.6,33,23.4,
172,36,33,33,36,27,0,46,41,0,36,29,0,39,32,10.5,38.6,32.4,8.7,
173,35,32,0,37,28,0,46,42,0,38,27,0,39,31,15,39,32,3,
174,36,34,19,36,28,0,46,42,22.66666667,38,29,0,40,29,0,39.2,32.4,8.333333333,
175,38,33,24,34,28,19,48,41,0,33,28,0,40,29,52,38.6,31.8,19,
176,37,30,0,34,28,0,48,40,0,33,27,10,37,29,0,37.8,30.8,2,
177,39,31,0,34,29,90,47,40,14,32,24,0,34,29,0,37.2,30.6,20.8,
178,38,30,18.5,36,29,0,45,39,0,32,25,35,35,29,12,37.2,30.4,13.1,
179,35,28,0,37,31,0,45,39,35,30,25,0,35,30,12,36.4,30.6,9.4,
180,36,26,25,38,30,0,44,38,11,31,25,49,34,27,42,36.6,29.2,25.4,
181,37,25,97,37,32,5,44,38,79,34,25,17,35,26,0,37.4,29.2,39.6,
182,33,24,0,33,31,14,44,37,28.66666667,33,23,32,34,26,0,35.4,28.2,14.93333333,
183,33,25,0,33,30,0,42,33,41,33,23,0,31,25,38,34.4,27.2,15.8,
184,35,26,0,34,30,39,43,33,0,33,23,0,32,26,0,35.4,27.6,7.8,
185,34,26,3,38,31,56,45,33,0,31,24,44,34,28,0,36.4,28.4,20.6,
186,30,25,0,40,30,0,42,31,0,30,24,3,35,30,34,35.4,28,7.4,
187,30,25,0,40,32,27.66666667,41,33,0,30,23,0,35,31,36,35.2,28.8,12.73333333,
188,29,26,18.5,38,28,0,38,34,0,31,26,6,34,30,9,34,28.8,6.7,
189,29,23,25.5,36,30,0,37,35,22,29,25,0,37,30,23,33.6,28.6,14.1,
190,30,23,25,34,30,11,38,35,44,29,25,0,42,29,0,34.6,28.4,16,
191,32,23,0,33,29,14,39,33,6,30,24,0,40,30,0,34.8,27.8,4,
192,36,23,0,33,28,0,40,32,0,32,26,10,42,32,18,36.6,28.2,5.6,
193,33,23,0,34,28,13,40,34,33,30,27,0,42,32,0,35.8,28.8,9.2,
194,30,23,0,36,27,0,38,32,0,29,26,33,41,34,21,34.8,28.4,10.8,
195,28,22,67,37,28,8,41,32,0,31,25,0,38,32,0,35,27.8,15,
196,30,22,10,39,31,0,41,33,66,34,25,0,37,32,0,36.2,28.6,15.2,
197,27,20,0,39,33,93,44,34,43.5,32,25,26,38,32,0,36,28.8,32.5,
198,28,21,0,34,32,0,40,32,23,31,25,0,40,32,0,34.6,28.4,4.6,
199,28,23,0,35,32,0,40,30,0,31,25,0,36,33,20,34,28.6,4,
200,31,23,0,33,32,0,39,32,15.5,29,24,0,38,32,0,34,28.6,3.1,
201,28,23,0,36,34,0,38,29,0,27,23,33.5,39,32,28,33.6,28.2,12.3,
202,30,24,34,37,35,0,36,29,0,29,23,0,39,32,16,34.2,28.6,10,
203,32,25,0,38,36,0,35,29,2,28,23,0,38,31,0,34.2,28.8,0.4,
204,33,29,0,37,36,0,32,28,0,27,24,0,36,32,38,33,29.8,7.6,
205,33,30,0,36,33,26.66666667,35,30,0,31,25,0,38,32,47,34.6,30,14.73333333,
206,33,31,0,36,30,0,37,31,0,30,24,1,38,30,23.5,34.8,29.2,4.9,
207,34,32,50,37,30,0,40,32,38,29,24,0,39,30,0,35.8,29.6,17.6,
208,35,31,0,37,29,0,36,31,0,28,24,0,39,29,0,35,28.8,0,
209,34,31,61,37,29,0,37,32,0,30,25,0,39,29,24,35.4,29.2,17,
210,33,30,32,34,27,12,38,33,40,31,25,0,36,27,0,34.4,28.4,16.8,
211,33,29,8,32,27,0,39,31,0,28,26,37,33,26,0,33,27.8,9,
212,35,28,0,33,27,0,42,31,0,29,25,0,33,27,3,34.4,27.6,0.6,
213,33,28,0,33,26,13,40,32,0,28,25,19.5,31,26,21.5,33,27.4,10.8,
214,34,30,9,34,25,0,42,35,32,28,21,44,31,24,0,33.8,27,17,
215,35,28,0,36,27,55.5,39,33,76,29,20,45,31,24,0,34,26.4,35.3,
216,33,26,23,35,26,0,37,31,35,26,19,0,29,24,0,32,25.2,11.6,
217,30,24,0,36,27,0,38,31,0,26,19,9,32,26,29,32.4,25.4,7.6,
218,31,23,19,34,27,8,36,31,12,26,18,0,32,26,18,31.8,25,11.4,
219,30,22,0,32,25,78,37,32,0,24,18,0,33,23,2,31.2,24,16,
220,30,20,0,31,24,0,37,32,0,21,19,0,33,23,13,30.4,23.6,2.6,
221,27,21,51,28,24,6,38,33,15,22,20,0,35,25,4,30,24.6,15.2,
222,27,21,0,28,23,0,38,32,0,22,20,15,30,24,0,29,24,3,
223,25,21,0,26,23,0,38,32,0,24,20,0,29,24,4,28.4,24,0.8,
224,25,22,0,27,22,9,35,33,77,27,21,0,28,23,28,28.4,24.2,22.8,
225,25,22,50,28,20,7,37,31,12,24,20,10,31,23,0,29,23.2,15.8,
226,25,20,0,27,19,0,36,30,0,27,20,0,30,26,8,29,23,1.6,
227,25,19,13,27,19,0,39,32,0,24,20,0,30,24,0,29,22.8,2.6,
228,24,18,0,27,19,0,38,31,36,24,22,56,33,25,0,29.2,23,18.4,
229,22,18,0,24,18,47,38,30,0,25,20,34,34,25,0,28.6,22.2,16.2,
230,26,21,29.5,22,16,0,37,29,31.5,25,18,0,32,27,7,28.4,22.2,13.6,
231,25,20,0,23,16,0,39,26,0,24,20,22,30,26,39,28.2,21.6,12.2,
232,25,20,0,21,19,0,39,27,22,24,17,0,28,24,1,27.4,21.4,4.6,
233,26,22,13,21,19,0,36,27,30.5,23,17,0,28,21,17,26.8,21.2,12.1,
234,25,20,12,20,19,0,34,25,0,23,18,13,27,20,0,25.8,20.4,5,
235,25,19,0,21,19,81,32,25,17,22,17,0,28,20,0,25.6,20,19.6,
236,24,19,29,24,19,0,30,25,26,22,16,0,26,20,0,25.2,19.8,11,
237,24,18,13,25,19,0,29,23,0,20,15,0,27,21,0,25,19.2,2.6,
238,24,19,0,26,22,0,31,24,88,21,15,0,24,21,25,25.2,20.2,22.6,
239,25,22,45,28,26,0,28,23,0,21,14,0,28,21,17,26,21.2,12.4,
240,26,22,0,29,27,0,30,25,0,23,15,0,27,20,10,27,21.8,2,
241,28,22,0,30,27,11,29,24,0,24,16,0,28,21,0,27.8,22,2.2,
242,28,23,0,31,27,18,29,25,0,23,17,46,30,21,0,28.2,22.6,12.8,
243,28,24,5,31,26,49.5,28,25,0,23,16,0,31,22,0,28.2,22.6,10.9,
244,27,23,13,31,25,0,28,25,74,24,18,0,29,23,0,27.8,22.8,17.4,
245,27,23,0,30,25,0,28,25,0,23,19,0,31,22,60,27.8,22.8,12,
246,28,23,60,32,25,0,30,26,19,21,20,0,28,20,0,27.8,22.8,15.8,
247,27,22,0,29,25,0,34,26,47,26,22,0,27,20,12,28.6,23,11.8,
248,26,22,0,29,24,0,33,26,0,26,22,0,26,18,0,28,22.4,0,
249,25,22,28,27,24,82,32,26,0,27,23,28,26,19,0,27.4,22.8,27.6,
250,25,20,0,29,24,0,35,28,8,27,21,0,25,19,22,28.2,22.4,6,
251,24,19,10,29,24,0,30,26,0,26,22,8,25,19,0,26.8,22,3.6,
252,22,19,0,29,23,0,33,29,40,28,21,0,24,20,9,27.2,22.4,9.8,
253,23,21,0,29,23,0,35,28,22,25,20,0,24,19,0,27.2,22.2,4.4,
254,24,21,0,28,24,0,33,28,0,25,20,4,24,20,0,26.8,22.6,0.8,
255,26,22,39,26,24,0,31,27,0,24,20,0,24,19,0,26.2,22.4,7.8,
256,24,19,0,26,24,8,31,26,20,24,19,0,22,19,20,25.4,21.4,9.6,
257,25,19,0,30,23,0,32,25,0,23,18,0,21,17,0,26.2,20.4,0,
258,24,19,5,28,22,0,31,26,74,21,18,0,22,19,0,25.2,20.8,15.8,
259,24,15,1,28,22,14,30,25,0,20,18,0,25,19,60,25.4,19.8,15,
260,23,15,43,28,21,0,32,27,0,22,17,10,26,20,0,26.2,20,10.6,
261,24,16,0,29,21,47,30,26,42,21,14,0,24,21,0,25.6,19.6,17.8,
262,24,17,0,25,18,0,30,25,0,20,14,35,26,24,0,25,19.6,7,
263,24,18,19,22,18,5,31,26,0,19,11,0,27,25,0,24.6,19.6,4.8,
264,24,19,0,24,16,0,30,24,0,17,11,0,28,24,0,24.6,18.8,0,
265,25,20,0,23,16,73,30,25,0,17,12,11,30,25,20,25,19.6,20.8,
266,24,20,0,19,16,0,31,26,0,14,11,0,31,26,39,23.8,19.8,7.8,
267,24,21,20,20,16,12,32,25,0,15,11,0,31,25,0,24.4,19.6,6.4,
268,25,21,0,21,14,0,32,25,24,16,11,0,34,27,0,25.6,19.6,4.8,
269,26,20,0,19,14,12,32,24,0,17,13,0,31,28,0,25,19.8,2.4,
270,24,20,0,18,13,0,32,24,9,17,14,0,31,28,32,24.4,19.8,8.2,
271,24,19,0,18,13,0,30,23,0,17,14,0,29,26,0,23.6,19,0,
272,24,20,7,18,13,0,30,25,48,16,14,0,29,27,16.5,23.4,19.8,14.3,
273,24,19,0,18,14,23,29,25,8,17,15,5,30,25,16,23.6,19.6,10.4,
274,26,20,0,18,13,0,28,24,0,20,15,14,30,22,11,24.4,18.8,5,
275,25,21,0,18,13,0,26,24,0,19,14,0,30,21,0,23.6,18.6,0,
276,23,21,0,19,14,7,29,24,0,20,15,0,29,21,0,24,19,1.4,
277,24,21,0,20,14,0,30,27,0,21,14,0,26,21,0,24.2,19.4,0,
278,24,20,0,19,14,0,29,26,45,19,13,17,26,21,0,23.4,18.8,12.4,
279,25,18,8,21,14,0,28,24,0,19,13,0,28,23,0,24.2,18.4,1.6,
280,25,16,56,19,15,0,28,24,0,19,13,46,28,20,30,23.8,17.6,26.4,
281,26,15,0,19,17,102,28,23,0,18,12,0,26,19,0,23.4,17.2,20.4,
282,21,14,0,20,18,0,29,23,0,18,13,0,25,17,0,22.6,17,0,
283,23,15,0,20,18,0,27,23,0,18,13,0,24,17,0,22.4,17.2,0,
284,19,15,0,21,17,0,27,23,0,17,14,0,25,18,0,21.8,17.4,0,
285,19,16,0,20,17,16.5,26,23,0,17,12,22,24,19,0,21.2,17.4,7.7,
286,18,17,0,20,16,0,27,24,53,15,11,0,23,20,21,20.6,17.6,14.8,
287,20,16,0,20,16,0,28,23,0,14,11,0,21,17,5,20.6,16.6,1,
288,20,16,0,21,15,0,26,24,38,14,11,0,22,17,0,20.6,16.6,7.6,
289,21,17,0,22,17,0,26,23,7,13,11,0,22,17,0,20.8,17,1.4,
290,24,17,13,23,16,0,25,22,0,17,14,0,25,19,0,22.8,17.6,2.6,
291,24,17,0,22,17,0,27,22,2,16,14,0,22,20,0,22.2,18,0.4,
292,24,18,0,19,17,0,27,22,23,20,15,0,22,19,12,22.4,18.2,7,
293,25,19,0,19,16,0,27,21,3,21,17,0,22,18,12,22.8,18.2,3,
294,23,20,51,17,15,0,27,21,0,20,18,0,23,17,0,22,18.2,10.2,
295,22,18,8,18,13,116,28,23,0,20,17,0,23,19,6,22.2,18,26,
296,21,18,16,18,12,0,30,24,0,21,18,41,23,18,23,22.6,18,16,
297,21,15,2,18,13,0,28,24,0,21,16,0,22,18,0,22,17.2,0.4,
298,20,14,0,16,13,0,28,25,89,22,15,11,22,18,0,21.6,17,20,
299,19,14,0,18,14,46,30,25,0,21,13,12,22,19,0,22,17,11.6,
300,19,15,13,17,13,0,29,23,33,20,11,0,26,20,0,22.2,16.4,9.2,
301,19,15,0,18,13,14,29,22,0,20,12,0,24,20,0,22,16.4,2.8,
302,19,15,0,20,14,0,29,23,0,16,12,0,24,19,0,21.6,16.6,0,
303,17,13,0,19,16,8,27,22,0,15,11,0,24,19,0,20.4,16.2,1.6,
304,18,14,0,20,15,0,26,23,0,14,10,8,23,20,28,20.2,16.4,7.2,
305,17,14,0,21,15,0,28,24,24,15,9,0,23,20,0,20.8,16.4,4.8,
306,15,13,0,21,16,0,30,26,35,16,9,0,23,20,27,21,16.8,12.4,
307,16,12,0,21,15,0,31,26,0,15,9,0,22,19,4,21,16.2,0.8,
308,16,13,62,21,15,0,31,26,53,14,8,0,23,19,0,21,16.2,23,
309,17,13,0,20,15,0,30,24,0,13,8,0,22,16,26,20.4,15.2,5.2,
310,20,13,0,20,15,0,30,26,0,12,7,4,22,16,3,20.8,15.4,1.4,
311,18,13,0,17,15,0,29,26,0,10,6,0,21,15,0,19,15,0,
